Food Name,Category Name,Calcium,Calories,Carbs,Cholesterol,Copper,Fats,Fiber,Folate,Iron,Magnesium,Monounsaturated Fat,Net carbs,Omega-3 - DHA,Omega-3 - DPA,Omega-3 - EPA,Phosphorus,Polyunsaturated fat,Potassium,Protein,Saturated Fat,Selenium,Sodium,Trans Fat,Vitamin A (IU),Vitamin A RAE,Vitamin B1,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Zinc,Choline,Fructose,Histidine,Isoleucine,Leucine,Lysine,Manganese,Methionine,Phenylalanine,Starch,Sugar,Threonine,Tryptophan,Valine,Vitamin D,Vitamin E,Vitamin K,Omega-3 - ALA,Omega-6 - Eicosadienoic acid,Omega-6 - Gamma-linoleic acid,Omega-3 - Eicosatrienoic acid,Omega-6 - Dihomo-gamma-linoleic acid,Omega-6 - Linoleic acid,Omega-6 - Arachidonic acid
Carambola,Fruits,0.003,31.0,6.7,0.0,0.00014000000000000001,0.33,2.8,1.2e-05,8e-05,0.01,0.03,3.9,0.0,0.0,0.0,0.012,0.18,0.133,1.0,0.02,6e-07,0.002,0.0,61.0,3e-06,1e-05,0.0,2e-05,0.00037,0.00039,2e-05,0.034,0.00011999999999999999,0.0076,,1e-05,4e-05,8e-05,8e-05,4e-05,2e-05,4e-05,,4.0,4e-05,1e-05,5e-05,0.0,0.00015,0.0,,,,,,,
Cherimoya,Fruits,0.01,75.0,18.0,0.0,7.000000000000001e-05,0.68,3.0,2.3e-05,0.00027,0.017,0.06,15.0,0.0,0.0,0.0,0.026,0.19,0.287,1.6,0.23,,0.007,0.0,5.0,0.0,0.0001,0.0,0.00013000000000000002,0.00064,0.00035,0.00026000000000000003,0.013,0.00016,,6.3,2e-05,4e-05,5.9999999999999995e-05,4e-05,8.999999999999999e-05,2e-05,4e-05,0.0,13.0,5e-05,2.9999999999999997e-05,5.9999999999999995e-05,,0.00027,,0.16,0.0,0.0,0.0,0.0,0.03,
Cherry,Fruits,0.016,50.0,12.0,0.0,0.0001,0.3,1.6,8e-06,0.00032,0.009,0.08,11.0,0.0,0.0,0.0,0.015,0.09,0.173,1.0,0.07,0.0,0.003,0.0,1283.0,6.4e-05,2.9999999999999997e-05,0.0,4e-05,0.0004,0.00014000000000000001,4e-05,0.01,0.0001,0.0060999999999999995,3.5,,,,,0.00011,,,,8.5,,,,0.0,7.000000000000001e-05,2.1000000000000002e-06,,,,,,,
Crabapple (Malus),Fruits,0.018,76.0,20.0,0.0,7.000000000000001e-05,0.3,,,0.00035999999999999997,0.007,0.01,20.0,,,,0.015,0.09,0.194,0.4,0.05,,0.001,0.0,40.0,2e-06,2.9999999999999997e-05,0.0,2e-05,0.0001,,,0.008,,,,1e-05,2e-05,2.9999999999999997e-05,2.9999999999999997e-05,0.00011999999999999999,0.0,1e-05,,,1e-05,0.0,2e-05,,,,,,,,,,
Cranberry,Fruits,0.008,46.0,12.0,0.0,5.9999999999999995e-05,0.13,3.6,1e-06,0.00023,0.006,0.02,8.4,0.0,0.0,0.0,0.011,0.06,0.08,0.46,0.01,1.0000000000000001e-07,0.002,0.0,63.0,3e-06,1e-05,0.0,2e-05,0.0001,0.0003,5.9999999999999995e-05,0.014,8.999999999999999e-05,0.0055,0.67,2e-05,2.9999999999999997e-05,5e-05,4e-05,0.00027,0.0,4e-05,0.0,4.3,2.9999999999999997e-05,0.0,5e-05,0.0,0.0013,5e-06,,,,,,,
Currant,Fruits,0.033,56.0,14.0,0.0,0.00011,0.2,4.3,8e-06,0.001,0.013,0.03,9.5,0.0,0.0,0.0,0.044,0.09,0.275,1.4,0.02,6e-07,0.001,0.0,42.0,2e-06,4e-05,0.0,5e-05,0.0001,5.9999999999999995e-05,7.000000000000001e-05,0.041,0.00023,0.0076,3.5,,,,,0.00019,,,,7.4,,,,0.0,0.0001,1.1e-05,,,,,,,
Custard apple,Fruits,0.03,101.0,25.0,0.0,,0.6,2.4,,0.0007099999999999999,0.018,,23.0,,,,0.021,,0.382,1.7,0.23,,0.004,0.0,33.0,2e-06,8e-05,0.0,0.0001,0.0005,0.00014000000000000001,0.00022,0.019,,,,,,,4e-05,,0.0,,,,,1e-05,,,,,,,,,,,
Dates,Fruits,0.039,282.0,75.0,0.0,0.00020999999999999998,0.39,8.0,1.9e-05,0.001,0.043,0.04,67.0,0.0,0.0,0.0,0.062,0.02,0.656,2.5,0.03,3e-06,0.002,0.0,10.0,0.0,5e-05,0.0,7.000000000000001e-05,0.0013,0.0005899999999999999,0.00017,0.0004,0.00029,0.0063,20.0,2.9999999999999997e-05,5e-05,8e-05,7.000000000000001e-05,0.00026000000000000003,2e-05,5e-05,,63.0,4e-05,1e-05,7.000000000000001e-05,0.0,5e-05,2.7e-06,,0.0,0.0,,,,
Elderberry,Fruits,0.038,73.0,18.0,0.0,5.9999999999999995e-05,0.5,7.0,6e-06,0.0016,0.005,0.08,11.0,0.0,0.0,0.0,0.039,0.25,0.28,0.66,0.02,6e-07,0.006,0.0,600.0,3e-05,7.000000000000001e-05,0.0,5.9999999999999995e-05,0.0005,0.00014000000000000001,0.00023,0.036,0.00011,,,2e-05,2.9999999999999997e-05,5.9999999999999995e-05,2.9999999999999997e-05,,1e-05,4e-05,,,2.9999999999999997e-05,1e-05,2.9999999999999997e-05,,,,,,,,,,
Figs,Fruits,0.035,74.0,19.0,0.0,7.000000000000001e-05,0.3,2.9,6e-06,0.00037,0.017,0.07,16.0,0.0,0.0,0.0,0.014,0.14,0.232,0.75,0.06,2.0000000000000002e-07,0.001,0.0,142.0,7e-06,5.9999999999999995e-05,0.0,5e-05,0.0004,0.0003,0.00011,0.002,0.00015,0.0047,,1e-05,2e-05,2.9999999999999997e-05,2.9999999999999997e-05,0.00013000000000000002,1e-05,2e-05,,16.0,2e-05,1e-05,2.9999999999999997e-05,0.0,0.00011,4.7e-06,,,,,,,
Fruit salad,Fruits,0.011,50.0,13.0,0.0,5e-05,0.03,1.0,3e-06,0.00025,0.008,0.01,12.0,,,,0.014,0.01,0.116,0.51,0.0,,0.005,0.0,600.0,3e-05,1e-05,0.0,1e-05,0.00035999999999999997,5e-05,2.9999999999999997e-05,0.0033,0.00014000000000000001,,,,,,,0.00015,,,,,,,,0.0,,,,,,,,,
Gooseberry,Fruits,0.025,44.0,10.0,0.0,7.000000000000001e-05,0.58,4.3,6e-06,0.00031,0.01,0.05,5.9,0.0,0.0,0.0,0.027,0.32,0.198,0.88,0.04,6e-07,0.001,0.0,290.0,1.5e-05,4e-05,0.0,2.9999999999999997e-05,0.0003,0.00029,8e-05,0.028,0.00011999999999999999,,,,,,,0.00014000000000000001,,,,,,,,,0.00037,,,,,,,,
Goji berries,Fruits,0.19,349.0,77.0,0.0,,0.39,13.0,,0.0068,,,64.0,,,,,,,14.0,0.0,,0.298,0.0,26822.0,,,,,,,,0.048,,,,0.00016,0.00026000000000000003,0.00046,0.00023,,8.999999999999999e-05,0.00027,,46.0,0.00035999999999999997,,0.00032,,,,,,,,,,
Grapefruit,Fruits,0.022,42.0,11.0,0.0,2.9999999999999997e-05,0.14,1.6,1.3e-05,8e-05,0.009,0.02,9.1,0.0,0.0,0.0,0.018,0.04,0.135,0.77,0.02,1.0000000000000001e-07,0.0,0.0,1150.0,5.8e-05,4e-05,0.0,2.9999999999999997e-05,0.0002,0.00026000000000000003,5e-05,0.031,7.000000000000001e-05,0.0077,1.8,1e-05,1e-05,2e-05,2e-05,2e-05,1e-05,1e-05,0.0,6.9,1e-05,1e-05,2e-05,0.0,0.00013000000000000002,0.0,,,,,,,
Grape,Fruits,0.014,67.0,17.0,0.0,4e-05,0.35,0.9,4e-06,0.00029,0.005,0.01,16.0,0.0,0.0,0.0,0.01,0.1,0.191,0.63,0.11,1.0000000000000001e-07,0.002,0.0,100.0,5e-06,8.999999999999999e-05,0.0,5.9999999999999995e-05,0.0003,2e-05,0.00011,0.004,4e-05,0.0056,,2e-05,1e-05,1e-05,1e-05,0.0007199999999999999,2e-05,1e-05,,16.0,2e-05,0.0,2e-05,0.0,0.00019,1.5e-05,,,,,,,
Peruvian groundcherry,Fruits,0.009,53.0,11.0,0.0,,0.7,,,0.001,,,11.0,,,,0.04,,,1.9,,,,0.0,720.0,3.6e-05,0.00011,0.0,4e-05,0.0028,,,0.011,,,,,,,,,,,,,,,,,,,,,,,,,
Guava,Fruits,0.018,68.0,14.0,0.0,0.00023,0.95,5.4,4.9e-05,0.00026000000000000003,0.022,0.09,8.9,0.0,0.0,0.0,0.04,0.4,0.417,2.6,0.27,6e-07,0.002,0.0,624.0,3.1e-05,7.000000000000001e-05,0.0,4e-05,0.0011,0.00045,0.00011,0.228,0.00023,0.0076,,2e-05,8.999999999999999e-05,0.00017,7.000000000000001e-05,0.00015,2e-05,1e-05,,8.9,0.0001,2e-05,8.999999999999999e-05,0.0,0.00073,2.6e-06,,,,,,,
Jackfruit,Fruits,0.024,95.0,23.0,0.0,8e-05,0.64,1.5,2.4e-05,0.00023,0.029,0.16,22.0,0.0,0.0,0.0,0.021,0.09,0.448,1.7,0.2,,0.002,0.0,110.0,5e-06,0.00011,0.0,5.9999999999999995e-05,0.00092,0.00023999999999999998,0.00033,0.014,0.00013000000000000002,,9.2,2.9999999999999997e-05,7.000000000000001e-05,0.0001,7.000000000000001e-05,4e-05,2.9999999999999997e-05,5e-05,1.5,19.0,8.999999999999999e-05,2.9999999999999997e-05,8.999999999999999e-05,,0.00034,,0.08,0.0,0.0,0.0,0.0,0.02,
Java plum,Fruits,0.019,60.0,16.0,0.0,,0.23,,,0.00019,0.015,,16.0,,,,0.017,,0.079,0.72,,,0.014,0.0,3.0,0.0,1e-05,0.0,1e-05,0.00026000000000000003,,4e-05,0.014,,,,,,,,,,,,,,,,,,,,,,,,,
Jujube,Fruits,0.021,79.0,20.0,0.0,7.000000000000001e-05,0.2,,,0.00047999999999999996,0.01,,20.0,,,,0.023,,0.25,1.2,,,0.003,0.0,40.0,2e-06,2e-05,0.0,4e-05,0.0009,,8e-05,0.069,5e-05,,,,,,,8e-05,,,,,,,,,,,,,,,,,
Kiwifruit,Fruits,0.034,61.0,15.0,0.0,0.00013000000000000002,0.52,3.0,2.5e-05,0.00031,0.017,0.05,12.0,0.0,0.0,0.0,0.034,0.29,0.312,1.1,0.03,2.0000000000000002e-07,0.003,0.0,87.0,4e-06,2.9999999999999997e-05,0.0,2.9999999999999997e-05,0.00034,0.00017999999999999998,5.9999999999999995e-05,0.093,0.00014000000000000001,0.0078,4.4,2.9999999999999997e-05,5e-05,7.000000000000001e-05,5.9999999999999995e-05,0.0001,2e-05,4e-05,0.0,9.0,5e-05,2e-05,5.9999999999999995e-05,0.0,0.0015,4e-05,,,,,,,
Kumquat,Fruits,0.062,71.0,16.0,0.0,0.0001,0.86,6.5,1.7e-05,0.00086,0.02,0.15,9.4,0.0,0.0,0.0,0.019,0.17,0.186,1.9,0.1,0.0,0.01,0.0,290.0,1.5e-05,4e-05,0.0,8.999999999999999e-05,0.00043,0.00020999999999999998,4e-05,0.044,0.00017,0.008400000000000001,,,,,,0.00014000000000000001,,,,9.4,,,,0.0,0.00015,0.0,,,,,,,
Lemon,Fruits,0.026,29.0,9.3,0.0,4e-05,0.3,2.8,1.1e-05,0.0006,0.008,0.01,6.5,0.0,0.0,0.0,0.016,0.09,0.138,1.1,0.04,4.0000000000000003e-07,0.002,0.0,22.0,1e-06,4e-05,0.0,2e-05,0.0001,0.00019,8e-05,0.053,5.9999999999999995e-05,0.0050999999999999995,,,,,,2.9999999999999997e-05,,,,2.5,,,,0.0,0.00015,0.0,,,,,,,
Lime,Fruits,0.033,30.0,11.0,0.0,7.000000000000001e-05,0.2,2.8,8e-06,0.0006,0.006,0.02,7.7,0.0,0.0,0.0,0.018,0.06,0.102,0.7,0.02,4.0000000000000003e-07,0.002,0.0,50.0,2e-06,2.9999999999999997e-05,0.0,2e-05,0.0002,0.00022,4e-05,0.029,0.00011,0.0050999999999999995,,,,,1e-05,1e-05,0.0,,,1.7,,0.0,,0.0,0.00022,6e-07,,,,,,,
Lychee,Fruits,0.005,66.0,17.0,0.0,0.00015,0.44,1.3,1.4e-05,0.00031,0.01,0.12,15.0,0.0,0.0,0.0,0.031,0.13,0.171,0.83,0.1,6e-07,0.001,0.0,0.0,0.0,1e-05,0.0,7.000000000000001e-05,0.0006,,0.0001,0.072,7.000000000000001e-05,0.0070999999999999995,,,,,4e-05,5.9999999999999995e-05,1e-05,,,15.0,,1e-05,,0.0,7.000000000000001e-05,4.0000000000000003e-07,,,,,,,
Loganberries,Fruits,0.026,55.0,13.0,0.0,0.00011999999999999999,0.31,5.3,2.6e-05,0.00064,0.021,0.03,7.7,0.0,0.0,0.0,0.026,0.18,0.145,1.5,0.01,2.0000000000000002e-07,0.001,0.0,35.0,2e-06,5e-05,0.0,2.9999999999999997e-05,0.0008399999999999999,0.00023999999999999998,7.000000000000001e-05,0.015,0.00034,0.0085,,,,,,0.0012,,,,7.7,,,,0.0,0.00087,7.8e-06,,,,,,,
Longan,Fruits,0.001,60.0,15.0,0.0,0.00017,0.1,1.1,,0.00013000000000000002,0.01,,14.0,,,,0.021,,0.266,1.3,,,0.0,0.0,,,2.9999999999999997e-05,0.0,0.00014000000000000001,0.0003,,,0.084,5e-05,,,1e-05,2.9999999999999997e-05,5e-05,5e-05,5e-05,1e-05,2.9999999999999997e-05,,,2.9999999999999997e-05,,5.9999999999999995e-05,,,,,,,,,,
Loquat,Fruits,0.016,47.0,12.0,0.0,4e-05,0.2,1.7,1.4e-05,0.00028000000000000003,0.013,0.01,10.0,0.0,0.0,0.0,0.027,0.09,0.266,0.43,0.04,6e-07,0.001,0.0,1528.0,7.6e-05,2e-05,0.0,2e-05,0.00017999999999999998,,0.0001,0.001,5e-05,,,1e-05,2e-05,2.9999999999999997e-05,2e-05,0.00015,0.0,1e-05,,,2e-05,1e-05,2e-05,,,,,,,,,,
Mango,Fruits,0.011,60.0,15.0,0.0,0.00011,0.38,1.6,4.3e-05,0.00016,0.01,0.14,13.0,0.0,0.0,0.0,0.014,0.07,0.168,0.82,0.09,6e-07,0.001,0.0,1082.0,5.4e-05,2.9999999999999997e-05,0.0,4e-05,0.00067,0.0002,0.00011999999999999999,0.036,8.999999999999999e-05,0.0076,4.7,2e-05,2.9999999999999997e-05,5e-05,7.000000000000001e-05,5.9999999999999995e-05,1e-05,2.9999999999999997e-05,,14.0,2.9999999999999997e-05,1e-05,4e-05,0.0,0.0009,4.2000000000000004e-06,,,,,,,
Purple mangosteen,Fruits,0.012,73.0,18.0,0.0,7.000000000000001e-05,0.58,1.8,3.1e-05,0.0003,0.013,,16.0,,,,0.008,,0.048,0.41,,,0.007,0.0,35.0,2e-06,5e-05,0.0,5e-05,0.00029,2.9999999999999997e-05,2e-05,0.0029,0.00020999999999999998,,,,,,,0.0001,,,,,,,,0.0,,,,,,,,,
Cantaloupe,Fruits,0.009,34.0,8.2,0.0,4e-05,0.19,0.9,2.1e-05,0.00020999999999999998,0.012,0.0,7.3,0.0,0.0,0.0,0.015,0.08,0.267,0.84,0.05,4.0000000000000003e-07,0.016,0.0,3382.0,0.000169,4e-05,0.0,2e-05,0.00073,0.00011,7.000000000000001e-05,0.037,0.00017999999999999998,0.0076,1.9,2e-05,2e-05,2.9999999999999997e-05,2.9999999999999997e-05,4e-05,1e-05,2e-05,0.03,7.9,2e-05,0.0,2.9999999999999997e-05,0.0,5e-05,2.5e-06,,,,,,,
Melon,Fruits,0.011,28.0,6.6,0.0,5.9999999999999995e-05,0.1,0.9,8e-06,0.00034,0.011,0.0,5.7,0.0,0.0,0.0,0.005,0.04,0.182,1.1,0.03,4.0000000000000003e-07,0.009,0.0,0.0,0.0,2e-05,0.0,2.9999999999999997e-05,0.00023,8e-05,0.00016,0.022,7.000000000000001e-05,0.0076,,,,,,4e-05,,,,5.7,,,,0.0,5e-05,2.5e-06,,,,,,,
Honeydew,Fruits,0.006,36.0,9.1,0.0,2e-05,0.14,0.8,1.9e-05,0.00017,0.01,0.0,8.3,0.0,0.0,0.0,0.011,0.06,0.228,0.54,0.04,7e-07,0.018,0.0,50.0,3e-06,4e-05,0.0,1e-05,0.00041999999999999996,0.00016,8.999999999999999e-05,0.018,8.999999999999999e-05,0.0076,3.0,1e-05,1e-05,2e-05,2e-05,2.9999999999999997e-05,1e-05,2e-05,0.0,8.1,1e-05,1e-05,2e-05,0.0,2e-05,2.8999999999999998e-06,,,,,,,
Mulberry,Fruits,0.039,43.0,9.8,0.0,5.9999999999999995e-05,0.39,1.7,6e-06,0.0019,0.018,0.04,8.1,0.0,0.0,0.0,0.038,0.21,0.194,1.4,0.03,6e-07,0.01,0.0,25.0,1e-06,2.9999999999999997e-05,0.0,0.0001,0.00062,,5e-05,0.036,0.00011999999999999999,0.012,,,,,,,,,,8.1,,,,0.0,0.00087,7.8e-06,,,,,,,
Nectarine,Fruits,0.006,44.0,11.0,0.0,8.999999999999999e-05,0.32,1.7,5e-06,0.00028000000000000003,0.009,0.09,8.9,0.0,0.0,0.0,0.026,0.11,0.201,1.1,0.03,0.0,0.0,0.0,332.0,1.7e-05,2.9999999999999997e-05,0.0,2.9999999999999997e-05,0.0011,0.00019,2.9999999999999997e-05,0.0054,0.00017,0.0062,1.4,1e-05,1e-05,1e-05,2e-05,5e-05,1e-05,2e-05,0.07,7.9,1e-05,1e-05,1e-05,0.0,0.0007700000000000001,2.2e-06,,,,,,,
Orange,Fruits,0.04,47.0,12.0,0.0,5e-05,0.12,2.4,3e-05,0.0001,0.01,0.02,9.4,0.0,0.0,0.0,0.014,0.03,0.181,0.94,0.02,5e-07,0.0,0.0,225.0,1.1e-05,8.999999999999999e-05,0.0,4e-05,0.00028000000000000003,0.00025,5.9999999999999995e-05,0.053,7.000000000000001e-05,0.008400000000000001,,2e-05,2.9999999999999997e-05,2e-05,5e-05,2.9999999999999997e-05,2e-05,2.9999999999999997e-05,,9.4,2e-05,1e-05,4e-05,0.0,0.00017999999999999998,0.0,,,,,,,
Mandarin orange,Fruits,0.037,53.0,13.0,0.0,4e-05,0.31,1.8,1.6e-05,0.00015,0.012,0.06,12.0,0.0,0.0,0.0,0.02,0.07,0.166,0.81,0.04,1.0000000000000001e-07,0.002,0.0,681.0,3.4e-05,5.9999999999999995e-05,0.0,4e-05,0.00038,0.00022,8e-05,0.027,7.000000000000001e-05,0.01,2.4,1e-05,2e-05,2.9999999999999997e-05,2.9999999999999997e-05,4e-05,0.0,2e-05,0.0,11.0,2e-05,0.0,2e-05,0.0,0.0002,0.0,,,,,,,
Papaya,Fruits,0.02,43.0,11.0,0.0,5e-05,0.26,1.7,3.7e-05,0.00025,0.021,0.07,9.1,0.0,0.0,0.0,0.01,0.06,0.182,0.47,0.08,6e-07,0.008,0.0,950.0,4.7e-05,2e-05,0.0,2.9999999999999997e-05,0.00035999999999999997,0.00019,4e-05,0.061,8e-05,0.0060999999999999995,3.7,1e-05,1e-05,2e-05,2.9999999999999997e-05,4e-05,0.0,1e-05,0.0,7.8,1e-05,1e-05,1e-05,0.0,0.0003,2.6e-06,,,,,,,
Passion fruit,Fruits,0.012,97.0,23.0,0.0,8.999999999999999e-05,0.7,10.0,1.4e-05,0.0016,0.029,0.09,13.0,0.0,0.0,0.0,0.068,0.41,0.348,2.2,0.06,6e-07,0.028,0.0,1272.0,6.4e-05,0.0,0.0,0.00013000000000000002,0.0015,,0.0001,0.03,0.0001,0.0076,,,,,,,,,,11.0,,,,0.0,2e-05,7e-07,,,,,,,
Peach,Fruits,0.006,39.0,9.5,0.0,7.000000000000001e-05,0.25,1.5,4e-06,0.00025,0.009,0.07,8.0,0.0,0.0,0.0,0.02,0.09,0.19,0.91,0.02,1.0000000000000001e-07,0.0,0.0,326.0,1.6e-05,2e-05,0.0,2.9999999999999997e-05,0.0008100000000000001,0.00015,2.9999999999999997e-05,0.0066,0.00017,0.0060999999999999995,1.5,1e-05,2e-05,2.9999999999999997e-05,2.9999999999999997e-05,5.9999999999999995e-05,1e-05,2e-05,0.0,8.4,2e-05,1e-05,2e-05,0.0,0.00073,2.6e-06,,,,,,,
Pear,Fruits,0.009,57.0,15.0,0.0,8e-05,0.14,3.1,7e-06,0.00017999999999999998,0.007,0.08,12.0,0.0,0.0,0.0,0.012,0.09,0.116,0.36,0.02,1.0000000000000001e-07,0.001,0.0,25.0,1e-06,1e-05,0.0,2.9999999999999997e-05,0.00016,5e-05,2.9999999999999997e-05,0.0043,0.0001,0.0050999999999999995,6.4,0.0,1e-05,2e-05,2e-05,5e-05,0.0,1e-05,,9.8,1e-05,0.0,2e-05,0.0,0.00011999999999999999,4.4e-06,,,,,,,
Persimmon,Fruits,0.027,127.0,34.0,0.0,,0.4,,,0.0025,,,34.0,,,,0.026,,0.31,0.8,,,0.001,0.0,,,,0.0,,,,,0.066,,,,2e-05,4e-05,5.9999999999999995e-05,5e-05,,1e-05,4e-05,,,4e-05,1e-05,4e-05,,,,,,,,,,
Pineapple,Fruits,0.013,50.0,13.0,0.0,0.00011,0.12,1.4,1.8e-05,0.00029,0.012,0.01,12.0,0.0,0.0,0.0,0.008,0.04,0.109,0.54,0.01,1.0000000000000001e-07,0.001,0.0,58.0,3e-06,8e-05,0.0,2.9999999999999997e-05,0.0005,0.00020999999999999998,0.00011,0.048,0.00011999999999999999,0.0055,2.1,1e-05,2e-05,2e-05,2.9999999999999997e-05,0.00093,1e-05,2e-05,0.0,9.9,2e-05,1e-05,2e-05,0.0,2e-05,7e-07,,,,,,,
